HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458925.79820,2020-03-17.2975239,bk,1.47,16.093,13.236,0.017,18.435,0.276,g
2458925.79943,2020-03-17.2987516,bk,1.43,16.011,13.210,0.017,18.873,0.291,g
2458925.80066,2020-03-17.2999784,bk,1.40,16.047,13.240,0.016,18.373,0.284,g
2458926.55022,2020-03-18.0494700,bo,1.46,16.146,13.183,0.014,19.368,0.258,g
2458926.55144,2020-03-18.0506909,bo,1.41,16.140,13.237,0.016,18.419,0.266,g
2458929.48707,2020-03-20.9860416,bo,1.55,99.990,99.990,99.990,99.990,99.990,g
2458929.48829,2020-03-20.9872589,bo,1.56,99.990,99.990,99.990,99.990,99.990,g
2458931.48261,2020-03-22.9813947,bo,1.52,99.990,99.990,99.990,99.990,99.990,g
2458931.48382,2020-03-22.9826152,bo,1.47,99.990,99.990,99.990,99.990,99.990,g
2458931.48504,2020-03-22.9838312,bo,1.54,99.990,99.990,99.990,99.990,99.990,g
2458933.46002,2020-03-24.9586261,bo,1.45,15.916,13.141,0.018,20.133,0.323,g
2458933.46125,2020-03-24.9598552,bo,1.41,16.051,13.118,0.016,20.549,0.286,g
2458975.47768,2020-05-05.9730932,bo,1.94,14.576,13.232,0.065,18.513,1.098,g
2458975.47889,2020-05-05.9743093,bo,1.98,14.717,12.917,0.044,24.738,0.984,g
2458975.48010,2020-05-05.9755173,bo,1.93,14.846,13.262,0.052,17.999,0.862,g
2458980.44168,2020-05-10.9368401,bo,1.51,15.802,13.158,0.020,19.803,0.359,g
2458980.44295,2020-05-10.9381135,bo,1.46,15.687,13.121,0.022,20.487,0.405,g
2458980.44416,2020-05-10.9393287,bo,1.46,15.786,13.112,0.020,20.655,0.368,g
2458981.36069,2020-05-11.8558125,bo,1.46,15.837,13.099,0.019,20.913,0.351,g
2458981.36191,2020-05-11.8570315,bo,1.48,15.836,13.156,0.020,19.855,0.348,g
2458981.36314,2020-05-11.8582627,bo,1.46,15.728,13.109,0.021,20.739,0.384,g
2458982.38152,2020-05-12.8765938,bo,1.44,99.990,99.990,99.990,99.990,99.990,g
2458982.38274,2020-05-12.8778215,bo,1.38,99.990,99.990,99.990,99.990,99.990,g
